ticker,filed,form,fp,fy,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
LDO.MI,2025-04-30,AR,FY,2024,17763000000.0,1074000000.0,1.865,1541000000.0,0.0605,0.0868,0.97,1.41,0.1195
LDO.MI,2026-04-30,AR,FY,2025,19503000000.0,1224000000.0,2.122,1750000000.0,0.0628,0.0897,0.98,2.34,0.128
MB.MI,2021-10-28,AR,FY,2021,2585540000.0,,,-95444000.0,,-0.0369,,,
MB.MI,2022-10-28,AR,FY,2022,2513784000.0,906977000.0,1.08,5145669000.0,0.3608,2.047,,,0.0852
MB.MI,2023-10-28,AR,FY,2023,2908216000.0,1025986000.0,1.21,-3160960000.0,0.3528,-1.0869,,,0.0906
MB.MI,2024-10-28,AR,FY,2024,3249642000.0,1273382000.0,1.53,439508000.0,0.3919,0.1352,,,0.1141
MB.MI,2025-10-28,AR,FY,2025,,1331501000.0,1.64,,,,,,0.1172
MONC.MI,2023-04-30,AR,FY,2022,2602890000.0,606697000.0,2.24,662577000.0,0.2331,0.2546,1.68,19.86,0.209
MONC.MI,2024-04-29,AR,FY,2023,2984217000.0,611931000.0,2.265263,914865000.0,0.2051,0.3066,1.89,37.67,0.1904
MONC.MI,2025-04-30,AR,FY,2024,3108924000.0,639596000.0,2.363565,989506000.0,0.2057,0.3183,2.16,77.81,0.1783
MONC.MI,2026-04-30,AR,FY,2025,3132128000.0,626670000.0,2.307341,960515000.0,0.2001,0.3067,2.42,203.23,0.1628
NEXI.MI,2023-04-30,AR,FY,2022,5301044000.0,138995000.0,0.11,634383000.0,0.0262,0.1197,14.73,0.05,0.0114
NEXI.MI,2024-04-29,AR,FY,2023,5813560000.0,-1005989000.0,-0.76699,902424000.0,-0.173,0.1552,23.63,0.07,-0.0892
NEXI.MI,2025-04-30,AR,FY,2024,6108000000.0,167000000.0,0.136137,1216000000.0,0.0273,0.1991,1.06,1.32,0.0153
NEXI.MI,2026-04-30,AR,FY,2025,6274000000.0,-3377000000.0,-2.81,1226000000.0,-0.5383,0.1954,1.08,0.53,-0.4785
PIRC.MI,2023-04-30,AR,FY,2022,6615727000.0,417760000.0,0.418,1131646000.0,0.0631,0.1711,1.32,0.39,0.0785
PIRC.MI,2024-04-29,AR,FY,2023,6777592000.0,479080000.0,0.48,1359861000.0,0.0707,0.2006,1.18,0.45,0.0872
PIRC.MI,2025-04-30,AR,FY,2024,6884395000.0,467981000.0,0.47,1292564000.0,0.068,0.1878,1.28,0.56,0.0813
PIRC.MI,2026-04-30,AR,FY,2025,6863760000.0,497527000.0,0.5,1305805000.0,0.0725,0.1902,1.45,0.64,0.0793
PST.MI,2023-04-30,AR,FY,2022,18280000000.0,1578000000.0,1.214,180000000.0,0.0863,0.0098,0.51,1.0,0.2014
PST.MI,2024-04-29,AR,FY,2023,20590000000.0,1922000000.0,1.483,1414000000.0,0.0933,0.0687,0.51,1.02,0.1862
PST.MI,2025-04-30,AR,FY,2024,22535000000.0,1994000000.0,1.54,2901000000.0,0.0885,0.1287,0.54,1.43,0.1721
PST.MI,2026-04-30,AR,FY,2025,23257000000.0,2214000000.0,1.71,2703000000.0,0.0952,0.1162,0.5,1.21,0.16
PRY.MI,2023-04-30,AR,FY,2022,16067000000.0,504000000.0,1.9,1038000000.0,0.0314,0.0646,1.21,0.5,0.1406
PRY.MI,2024-04-29,AR,FY,2023,15354000000.0,529000000.0,1.84,1416000000.0,0.0345,0.0922,1.18,0.77,0.1399
PRY.MI,2025-04-30,AR,FY,2024,17026000000.0,729000000.0,2.52,1933000000.0,0.0428,0.1135,1.15,0.21,0.1433
PRY.MI,2026-04-30,AR,FY,2025,19650000000.0,1270000000.0,4.3,2162000000.0,0.0646,0.11,1.23,0.43,0.1962
REC.MI,2023-04-30,AR,FY,2022,1853307000.0,312336000.0,1.494,461691000.0,0.1685,0.2491,1.27,,0.202
REC.MI,2024-04-29,AR,FY,2023,2082331000.0,389214000.0,1.861,485319000.0,0.1869,0.2331,1.2,,0.2308
REC.MI,2025-04-30,AR,FY,2024,2341559000.0,416508000.0,1.992,569918000.0,0.1779,0.2434,1.61,,0.2219
REC.MI,2026-04-30,AR,FY,2025,2618383000.0,443624000.0,2.121,596897000.0,0.1694,0.228,1.59,,0.2311
SPM.MI,2023-04-30,AR,FY,2022,9987000000.0,-209000000.0,-0.22,-477000000.0,-0.0209,-0.0478,1.13,1.19,-0.1011
SPM.MI,2024-04-29,AR,FY,2023,11883000000.0,179000000.0,0.09,586000000.0,0.0151,0.0493,1.18,0.99,0.0748
SPM.MI,2025-04-30,AR,FY,2024,14549000000.0,306000000.0,,1061000000.0,0.021,0.0729,1.14,1.24,0.1212
SPM.MI,2026-04-30,AR,FY,2025,15504000000.0,310000000.0,0.15,1504000000.0,0.02,0.097,1.1,0.62,0.1176
SRG.MI,2023-04-30,AR,FY,2022,3496000000.0,671000000.0,0.201,4109000000.0,0.1919,1.1753,0.85,0.16,0.0899
SRG.MI,2024-04-29,AR,FY,2023,4244000000.0,1135000000.0,0.338441,-135000000.0,0.2674,-0.0318,0.73,0.12,0.1487
SRG.MI,2025-04-30,AR,FY,2024,3548000000.0,1259000000.0,0.375328,1814000000.0,0.3548,0.5113,0.83,0.12,0.141
SRG.MI,2026-04-30,AR,FY,2025,3852000000.0,1270000000.0,0.37845,2688000000.0,0.3297,0.6978,0.72,0.11,0.1375
STLAM.MI,2023-04-30,AR,FY,2022,179592000000.0,16799000000.0,5.31,19959000000.0,0.0935,0.1111,1.27,2.6,0.2333
STLAM.MI,2024-04-29,AR,FY,2023,189544000000.0,18596000000.0,5.94,17954000000.0,0.0981,0.0947,1.24,2.35,0.2276
STLAM.MI,2025-04-30,AR,FY,2024,156878000000.0,5473000000.0,1.84,1535000000.0,0.0349,0.0098,1.09,1.46,0.067
STLAM.MI,2026-04-30,AR,FY,2025,153508000000.0,-22368000000.0,-7.75,-4650000000.0,-0.1457,-0.0303,1.02,1.0,-0.4177
STMMI.MI,2023-04-30,AR,FY,2022,16128000000.0,3960000000.0,4.74,5202000000.0,0.2455,0.3225,2.56,1.28,0.312
STMMI.MI,2024-04-29,AR,FY,2023,17286000000.0,4211000000.0,4.46,5992000000.0,0.2436,0.3466,3.17,1.19,0.2517
STMMI.MI,2025-04-30,AR,FY,2024,13269000000.0,1557000000.0,1.66,2965000000.0,0.1173,0.2235,3.11,1.16,0.0892
STMMI.MI,2026-04-30,AR,FY,2025,11800000000.0,166000000.0,0.18,2152000000.0,0.0141,0.1824,3.36,1.55,0.0093
TIT.MI,2023-04-30,AR,FY,2022,15788000000.0,-2925000000.0,-0.139996,4895000000.0,-0.1853,0.31,0.72,0.17,-0.1942
TIT.MI,2024-04-29,AR,FY,2023,14311000000.0,-1441000000.0,-0.06,3493000000.0,-0.1007,0.2441,0.68,0.14,-0.1056
TIT.MI,2025-04-30,AR,FY,2024,13653000000.0,-610000000.0,-0.028691,3177000000.0,-0.0447,0.2327,0.8,0.36,-0.051
TIT.MI,2026-04-30,AR,FY,2025,13734000000.0,297000000.0,0.013964,2538000000.0,0.0216,0.1848,0.91,0.27,0.0243
TEN.MI,2023-04-30,AR,FY,2022,11762526000.0,2553280000.0,2.16,1167217000.0,0.2171,0.0992,3.04,23.51,0.1836
TEN.MI,2024-04-29,AR,FY,2023,14868860000.0,3918065000.0,3.32,4395073000.0,0.2635,0.2956,3.62,33.91,0.2326
TEN.MI,2025-04-30,AR,FY,2024,12523934000.0,2036445000.0,1.81,2866218000.0,0.1626,0.2289,3.5,59.24,0.1227
TEN.MI,2026-04-30,AR,FY,2025,11981157000.0,1932813000.0,1.83,2599580000.0,0.1613,0.217,3.87,1556.11,0.1164
TRN.MI,2022-04-30,AR,FY,2021,2558800000.0,789400000.0,,832300000.0,0.3085,0.3253,0.77,0.18,0.1686
TRN.MI,2023-04-30,AR,FY,2022,2918000000.0,857000000.0,0.427,2323700000.0,0.2937,0.7963,0.75,0.26,0.1395
TRN.MI,2024-04-29,AR,FY,2023,3147600000.0,885400000.0,0.441425,1084900000.0,0.2813,0.3447,0.67,0.15,0.14
TRN.MI,2025-04-30,AR,FY,2024,3652500000.0,1061900000.0,0.523,1476500000.0,0.2907,0.4042,0.91,0.2,0.1411
UCG.MI,2023-04-30,AR,FY,2022,21037000000.0,6458000000.0,3.056,10264000000.0,0.307,0.4879,,,0.102
