ticker,trend,trend_strength,structure,continuation,breakout,pullback,rsi_divergence,bollinger,notes
UNH,rialzista,forte,HH-HL (rialzista),,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
XOM,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
COST,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
HD,laterale,debole,, | descending triangle,,False,"bullish (prezzo nuovo min, RSI no)",dentro le bande,
PG,laterale,debole,LH-LL (ribassista), | descending triangle,,False,"bullish (prezzo nuovo min, RSI no)",dentro le bande,
JNJ,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
ORCL,ribassista,moderato,mista,,,False,,dentro le bande,
BAC,laterale,debole,mista,,,False,,dentro le bande,
NFLX,laterale,debole,LH-LL (ribassista),,,False,,dentro le bande,
AMD,rialzista,moderato,,,,False,,dentro le bande,
CRM,laterale,debole,mista,,,False,,dentro le bande,
KO,laterale,debole,LH-LL (ribassista),,,False,,dentro le bande,
CVX,laterale,debole,mista, | ascending triangle,,False,,dentro le bande,
MRK,laterale,debole,mista, | ascending triangle,,False,,dentro le bande,
WMT,laterale,debole,mista,flag/pennant ribassista,,False,,dentro le bande,
PLTR,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
GE,rialzista,moderato,HH-HL (rialzista),,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
CAT,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
GS,rialzista,moderato,HH-HL (rialzista),flag/pennant rialzista (consolidamento dopo impulso),,False,,dentro le bande,
^GSPC,rialzista,moderato,HH-HL (rialzista),,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
^NDX,rialzista,moderato,,,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
^VIX,laterale,debole,mista, | ascending triangle,,False,,dentro le bande,
FTSEMIB.MI,laterale,debole,HH-HL (rialzista), | ascending triangle,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
^FCHI,laterale,debole,mista, | ascending triangle,breakout rialzista sopra 8296.01 (vol 1.2x),False,,squeeze (compressione volatilita'),
^STOXX50E,laterale,debole,HH-HL (rialzista),,breakout rialzista sopra 6149.17 (vol 1.3x),False,,dentro le bande,
SPY,rialzista,moderato,HH-HL (rialzista),,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
XLF,laterale,debole,mista, | ascending triangle,,False,,dentro le bande,
XLE,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
XLK,rialzista,moderato,,,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
XLV,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
XLY,laterale,debole,mista,,,False,,dentro le bande,
XLP,laterale,debole,mista,,,False,,dentro le bande,
XLU,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
XLI,laterale,debole,HH-HL (rialzista), | descending triangle,,False,,dentro le bande,
XLB,laterale,debole,mista,,,False,,dentro le bande,
XLRE,laterale,debole,HH-HL (rialzista), | ascending triangle,,False,"bearish (prezzo nuovo max, RSI no)",squeeze (compressione volatilita'),
XLC,laterale,debole,LH-LL (ribassista),,,False,,dentro le bande,
